0.390603125,           1.5624125,         1.953015625,
3.124825,        4.1013328125,         4.296634375,
4.4919359375,           4.6872375,         5.077840625,
5.859046875,        6.0543484375,             6.24965,
6.640253125,        6.8355546875,          7.03085625,
7.2261578125,         8.202665625,            9.374475,
11.9133953125,        12.108696875,  12.694601562499999,
13.8664109375,          14.0617125,  14.842918749999999,
15.0382203125,       15.8194265625,        16.014728125,
16.795934374999998,            18.74895,       18.9442515625,
19.920759375,          20.3113625,       21.2878703125,
21.483171875,        22.264378125,       22.4596796875,
24.21739375,       24.4126953125,      -24.8032984375,
-23.826790625,      -22.8502828125,      -22.0690765625,
-21.873775,      -21.6784734375,      -20.8972671875,
-20.701965625,      -20.5066640625,        -19.53015625,
-18.1630453125,      -16.9912359375,        -16.40533125,
-16.2100296875,      -14.6476171875,       -14.452315625,
-14.2570140625,       -13.671109375,      -13.4758078125,
-12.4993,      -10.7415859375, -10.546284374999999,
-9.5697765625,       -7.6167609375, -7.4214593749999995,
-6.4449515625,       -5.6637453125,         -5.46844375,
-5.2731421874999995, -3.7107296874999998,        -2.734221875